name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York City,2017-03-11,-1.8,-7.7,-4.8,-7.2,-15.3,-11.5,-15.5,43,0,0,0,,1.2,2.3,52.4,31.5,298,1020.9,54.4,16,122.2,10.6,4,,2017-03-11T06:13:41,2017-03-11T17:58:46,0.49,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-12,-1,-6.7,-3.9,-6.7,-13.3,-10,-15.8,39.5,0,0,0,,0,0.2,51.8,27.3,304.4,1026.2,22.7,16,151.8,12.6,5,,2017-03-12T07:12:04,2017-03-12T18:59:51,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-13,1.8,-6.2,-2.5,1.3,-11.8,-5.6,-14.1,41.5,0,0,0,,7.2,2.4,50,21.3,234.7,1030.2,27.1,16,211.6,18.2,8,,2017-03-13T07:10:26,2017-03-13T19:00:56,0.51,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-14,-0.1,-4.6,-1.4,-4.2,-11.2,-7.9,-4,83.2,40.66,100,75,"rain,snow",8.8,11.2,65.1,38.5,144.8,1002.6,81.5,5.5,74.8,6.4,3,,2017-03-14T07:08:48,2017-03-14T19:02:01,0.52,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-15,-2.9,-6.2,-4.5,-8.9,-13.8,-11.6,-12.4,54.1,0,0,0,,2.9,16.5,52.6,32.4,282.4,1003.1,55.3,15.6,116.7,10.1,4,,2017-03-15T07:07:09,2017-03-15T19:03:06,0.54,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-16,4.2,-4,-0.2,-0.1,-10.9,-5.2,-12,41.7,0,0,0,,0.1,15.6,53.5,33.5,285,1014.1,19.9,16,187,16,7,,2017-03-16T07:05:31,2017-03-16T19:04:11,0.57,Clear,Clear conditions throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-17,8.2,-0.8,3.1,6,-5.3,-0.4,-10,39.5,0,0,0,,0,12.1,40.7,19.4,271.5,1022.6,14.5,16,253,21.8,8,,2017-03-17T07:03:52,2017-03-17T19:05:15,0.61,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-18,4,1.4,2.2,3.3,-3.8,-1.2,-3.9,66.1,1.59,100,20.83,"rain,snow",0,9.2,39.1,24.2,86.8,1022.2,66.9,14,128.8,11.1,4,,2017-03-18T07:02:13,2017-03-18T19:06:19,0.65,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-19,8.5,1.4,4.5,5.3,-3.4,0.9,-5.6,50.9,0,0,0,,0,7.6,43.5,23.9,84.5,1021.1,32.8,16,241.7,20.9,8,,2017-03-19T07:00:33,2017-03-19T19:07:24,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-20,10.8,1.3,6.1,10.8,-2.9,4,-9,34.3,0,0,0,,2.3,4.9,37.1,22.6,309,1018.6,33.1,16,236.2,20.3,8,,2017-03-20T06:58:54,2017-03-20T19:08:27,0.75,Partially cloudy,Becoming cloudy in the afternoon.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
