name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York City,2018-05-04T08:00:00,23.7,23.7,17.2,67.14,0,0,,0,0,,13.4,272,1014.1,25.4,16,201,0.7,2,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-04T09:00:00,23.5,23.5,17.5,68.85,0,0,,0,0,,4.3,323,1014.1,91.4,16,108,0.4,1,,Overcast,cloudy,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-04T10:00:00,24.6,24.6,17.7,65.64,0,0,,0,0,,9.8,230,1014.2,54.3,14.8,216,0.8,2,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-04T11:00:00,24.5,24.5,17.8,66.24,0,0,,0,0,,12,218,1013.9,93.1,14.8,358,1.3,4,,Overcast,cloudy,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-04T12:00:00,25.1,25.1,17.3,61.86,0,0,,0,0,,8.3,236,1013.5,99.2,16,267,1,3,,Overcast,cloudy,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-04T13:00:00,25.5,25.5,17.5,61.15,0,0,,0,0,,13.2,240,1012.9,55.1,16,303,1.1,3,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-04T14:00:00,27.3,28,17.1,53.67,0,0,,0,0,,7.9,279,1011.9,34.2,14.8,482,1.7,5,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-04T15:00:00,27.5,28,16.7,51.88,0,0,,0,0,33.8,16.3,184,1010.8,34.2,16,486,1.7,5,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-04T16:00:00,27.7,28,16,49.19,0,0,,0,0,40,22.8,188,1009.9,34.2,14.8,433,1.6,4,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-04T17:00:00,28.2,28.2,15,44.81,0,0,,0,0,43.9,17.5,201,1009.2,50.8,16,345,1.2,3,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
